Type,Venue,Abbrv
2,ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems,SEAMS 
2,International Workshop on Software Engineering Curricula for Millennials,SECM 
2,International Workshop on Software Engineering for Computational Science and Engineering,SE-CSE 
2,International Workshop on Software Engineering for Embedded Systems,SEES 
2,International Workshop on Software Engineering in Health Care,SEHC 
2,International Workshop on Software Engineering in Healthcare Systems,SEHS 
2,ICSE Software Engineering in Society Track,SEIS 
2,International Workshop on Emotion Awareness in Software Engineering,SEmotion 
2,International Workshop on Software Engineering Methods in Spreadsheets,SEMS 
2,International Workshop on Software Engineering Research and Industrial Practices,SER&IPs 
2,International Workshop on Software Engineering for Smart Cyber-Physical Systems,SEsCPS 
2,International Workshop on Software Engineering for Systems-of-Systems,SESoS 
2,International Workshop on Software Engineering for Secure Systems,SESS 
2,International Workshop on Theory-Oriented Software Engineering,TOSE 
2,International Workshop on User Evaluation for Software Engineering Researchers,USER 
2,Apoyo a la Decisión en Ingeniería del Software / Decision Support in Software Engineering,ADIS
2,OOPSLA Workshop on Reflection and Software Engineering,OORaSE
2,Requirements Engineering: Foundation for Software Quality,REFSQ
1,Asia-Pacific Software Engineering Conference,APSEC
1,Conference on Software Engineering Education and Training,CSEE&T
1,International Conference on Computer Science and Software Engineering,CSSE
1,International Symposium on Component-Based Software Engineering,CBSE
2,Software Engineering and Applications,SEA
1,IASTED Conference on Software Engineering,SE
1,EUROMICRO Conference on Software Engineering and Advanced Applications,SEAA
2,Fundamental Approaches to Software Engineering,FASE
2,Workshop on Code Hunt on Educational Software Engineering,CHESE 
2,Colloquium on Object Orientation in Databases and Software Engineering,COODBSE
2,Engineering Secure Software and Systems,ESSoS
2,Workshop on Software Engineering and Architectures for Realtime Interactive Systems,SEARIS
2,International Workshop on Education and Training for Quality Software Engineering,ETQSE 
2,International Workshop on Integration of Software Engineering and Agent Technology,ISEAT 
2,Fundamentals of Software Engineering,FSEN
2,International Workshop on Ontology, Conceptualization and Epistemology for Information Systems, Software Engineering and Service Science,ONTOSE 
1,IEEE International Conference on Software Analysis, Evolution, and Reengineering,SANER
1,IEEE International Symposium on Software Reliability Engineering,ISSRE
2,International Workshop on Software Engineering and Middleware,SEM
2,International Summer Schools on Software Engineering,ISSSE
2,International Workshop on Software Engineering for Sensor Network Applications,SESENA
2,Journal of Software Engineering and Applications,JSEA
2,Innovations in Systems and Software Engineering,
2,Annals of Software Engineering,
2,ACM Transactions on Software Engineering and Methodology,TOSEM
2,Automated Software Engineering,
2,Empirical Software Engineering,
2,International Journal of Software Engineering and Knowledge Engineering,IJSEKE
2,Advances in Engineering Software,
2,ACM SIGSOFT Software Engineering Notes,
2,Journal of Software Engineering Research and Development,JSERD
2,Advances in Software Engineering,
2,e-Informatica Software Engineering Journal,
2,International Journal of Secure Software Engineering,IJSSE
2,IEEE Transactions on Software Engineering,TSE
2,International Journal of Agent-Oriented Software Engineering,IJAOSE
2,Series on Software Engineering and Knowledge Engineering,
2,NASA Monographs in Systems and Software Engineering,
